,Column_A,Column_B,Transaction Year,Transaction Month,Customer Year,Customer Month,Amount,Population City,Category_Food,Category_Grocery_Net,Category_Grocery_Pos,Category_Health,Category_Home,Category_Kids Pets,Category_Misc_Net,Category_Misc_Pos,Category_Personal Care,Category_Shopping_Net,Category_Shopping_Pos,Category_Transporte,Category_Travel,Gender_M,State_Northeast,State_Southeast,State_Southwest,State_West,Occupation_Alternative therapies,"Occupation_Animals, land and environment",Occupation_Computing and ICT,Occupation_Construction and building,"Occupation_Design, arts and crafts",Occupation_Education and training,Occupation_Engineering,Occupation_Facilities and property services,Occupation_Financial services,Occupation_Garage services,Occupation_Healthcare,"Occupation_Heritage, culture and libraries","Occupation_Hospitality, catering and tourism",Occupation_Languages,Occupation_Legal and court services,Occupation_Manufacturing and production,Occupation_Performing arts and media,"Occupation_Print and publishing, marketing and advertising",Occupation_Retail and customer services,"Occupation_Science, mathematics and statistics","Occupation_Security, uniformed and protective services",Occupation_Social sciences and religion,Occupation_Social work and caring services,Occupation_Sport and leisure,"Occupation_Transport, distribution and logistics"
Column_A,,,,,,,,,,,,,,,,,,,,,,,-0.6644367129630967,-0.2613108738731764,0.3782910514558951,0.581395273387194,,,,,,,,,,,,,,,,,,,,,,,,,
Column_B,,,,,,,,-0.29341470807797854,,,,,,,,,,,,,,,0.32421565518745854,-0.5982208798859957,-0.39021057140179416,0.22803631418221712,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction Year,,,,-0.41337738250587197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction Month,,,-0.41337738250587197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amount,,,,,,,,,,-0.10968062462865022,0.19921168924599336,-0.1259996923067252,,-0.1585913415861962,0.17168794098029208,-0.1696366073465958,-0.17084368341590883,0.3689371596553704,,-0.2115718937285607,-0.17110043602040598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population City,,-0.29341470807797854,,,,,,,,,,,,,,,,,,,,,,0.16340126983127068,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Grocery_Net,,,,,,,-0.10968062462865022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Grocery_Pos,,,,,,,0.19921168924599336,,,,,,-0.11483846524183842,-0.11145056050626695,-0.13598465200910578,-0.10163755107438735,-0.104706692764157,-0.19015422394142883,-0.1469502421996074,-0.14275249228388656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Health,,,,,,,-0.1259996923067252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Home,,,,,,,,,,,-0.11483846524183842,,,,,,,-0.10960537562343306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Kids Pets,,,,,,,-0.1585913415861962,,,,-0.11145056050626695,,,,,,,-0.10637185477885604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Misc_Net,,,,,,,0.17168794098029208,,,,-0.13598465200910578,,,,,,,-0.12978794893411505,-0.10029948394064148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Misc_Pos,,,,,,,-0.1696366073465958,,,,-0.10163755107438735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Personal Care,,,,,,,-0.17084368341590883,,,,-0.104706692764157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Shopping_Net,,,,,,,0.3689371596553704,,,,-0.19015422394142883,,-0.10960537562343306,-0.10637185477885604,-0.12978794893411505,,,,-0.14025384665602822,-0.13624738457629823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Shopping_Pos,,,,,,,,,,,-0.1469502421996074,,,,-0.10029948394064148,,,-0.14025384665602822,,-0.1052913038035753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Transporte,,,,,,,-0.2115718937285607,,,,-0.14275249228388656,,,,,,,-0.13624738457629823,-0.1052913038035753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category_Travel,,,,,,,-0.17110043602040598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State_Northeast,-0.6644367129630967,0.32421565518745854,,,,,,,,,,,,,,,,,,,,,,-0.30818482856178897,-0.16631095210074495,-0.1912816250205946,,,,,,,,,,,,,,,,,,,,,,,,,
State_Southeast,-0.2613108738731764,-0.5982208798859957,,,,,,0.16340126983127068,,,,,,,,,,,,,,,-0.30818482856178897,,-0.2196725081839098,-0.2526551246746179,,,,,,,,,,,,,,,,,,,,,,,,,
State_Southwest,0.3782910514558951,-0.39021057140179416,,,,,,,,,,,,,,,,,,,,,-0.16631095210074495,-0.2196725081839098,,-0.13634452589330998,,,,,,,,,,,,,,,,,,,,,,,,,
State_West,0.581395273387194,0.22803631418221712,,,,,,,,,,,,,,,,,,,,,-0.1912816250205946,-0.2526551246746179,-0.13634452589330998,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Alternative therapies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Occupation_Animals, land and environment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Computing and ICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Construction and building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Occupation_Design, arts and crafts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10944417276439074,,,,,,,,,,,,,,,,,,
Occupation_Education and training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10944417276439074,,,,,,-0.12955910081810462,,,,,,,,,-0.10179645109771668,,,,,
Occupation_Facilities and property services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Financial services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Garage services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12955910081810462,,,,,,,,,,,,,,,,,,
"Occupation_Heritage, culture and libraries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Occupation_Hospitality, catering and tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Legal and court services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Manufacturing and production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation_Performing arts and media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
