,Column_A,Column_B,Transaction Year,Transaction Month,Customer Year,Customer Month,Amount,Population City,Category_Food,Category_Grocery_Net,Category_Grocery_Pos,Category_Health,Category_Home,Category_Kids Pets,Category_Misc_Net,Category_Misc_Pos,Category_Personal Care,Category_Shopping_Net,Category_Shopping_Pos,Category_Transporte,Category_Travel,Gender_M,State_Northeast,State_Southeast,State_Southwest,State_West,Occupation_Alternative therapies,"Occupation_Animals, land and environment",Occupation_Computing and ICT,Occupation_Construction and building,"Occupation_Design, arts and crafts",Occupation_Education and training,Occupation_Engineering,Occupation_Facilities and property services,Occupation_Financial services,Occupation_Garage services,Occupation_Healthcare,"Occupation_Heritage, culture and libraries","Occupation_Hospitality, catering and tourism",Occupation_Languages,Occupation_Legal and court services,Occupation_Manufacturing and production,Occupation_Performing arts and media,"Occupation_Print and publishing, marketing and advertising",Occupation_Retail and customer services,"Occupation_Science, mathematics and statistics","Occupation_Security, uniformed and protective services",Occupation_Social sciences and religion,Occupation_Social work and caring services,Occupation_Sport and leisure,"Occupation_Transport, distribution and logistics"
Column_A,1.0,-0.06772960154293459,0.011178007913776057,-0.0029295222007828443,-0.011951763198482209,0.0037976395422634392,-0.015889310892425217,-0.05706634763684301,0.001980942568671516,0.0010713853877478486,-0.00739978361857116,0.002693477042540904,0.008641174101884488,0.0005868997862457913,-0.005042654470649035,0.003604313303654634,0.007789251491335535,-0.008729480174751288,-0.011998185423493131,0.014530421534291698,0.0005074545574904603,-0.03975944405045461,-0.5425283732977578,-0.2133665412544775,0.30888363748627484,0.4747230635512436,0.03878502186800122,-0.022285944204510515,0.05958340203228965,0.005060016541199984,0.03425220072226736,0.033254734896294005,0.02437096744929213,-0.01723533192451811,-0.03751202760143565,0.0209930791986694,-0.06207382576744276,-0.012335856031982532,-0.02726970977438497,0.0026380217553174418,-0.020241623259882057,-0.026623117948372306,-0.03270519280957116,0.04348922313957716,-0.00684632584388147,0.025025934748807575,0.01999732041806613,-0.008119424493886989,-0.03532516403144561,0.004955322972180321,0.04916463352709138
Column_B,-0.06772960154293459,1.0,-0.0026498233703561714,-0.006554057505152238,-0.012606072679751947,-0.01733286154382784,0.005590666039852076,-0.1981421866605582,0.0002609294535070401,0.00218722350206464,-0.001800417643076813,-0.006536284845658637,-0.0034383691285952743,0.010720312937383033,0.011635736494703716,-0.0037098331166205397,-0.004634793316641178,-0.007319696190232271,-0.005839429879337705,0.009826089064519945,-0.001685320440089501,0.04114491266301606,0.26472979077585684,-0.48846157129088147,-0.3186162089119268,0.1861970721551113,-0.018804499963042627,-0.024012059947934487,0.04334216148554384,-0.040505278093099735,-0.024356153133536267,-0.00959388729395238,-0.016704448902714653,0.032266793837829565,0.0027464131133558465,3.539798596370837e-05,-0.004985044809643385,-0.026585717352076217,0.017989205384392158,-0.0037606965683156975,0.011767982419949075,0.023515979314684046,0.02345070025135585,-0.04834390765807667,0.03244933378131438,-0.019532194859459475,0.01728039806899031,-0.021385079019202183,-0.017088776369668764,0.028843367147153375,0.03761166223874967
Transaction Year,0.011178007913776057,-0.0026498233703561714,1.0,-0.35235849482245296,-0.009023030880144655,0.005284184153369941,0.016569131829807078,-0.006553593994760624,0.0021014345774426706,-0.004108035422660027,0.014384417237838244,-0.002647569723007658,-0.003186967058212836,-0.001957623547535925,0.0063060361290690585,0.006496825562928305,-0.011876802440205161,-0.003869934071100699,0.006797212940129907,-0.007503954839670985,-0.0018064937147842656,-0.009774870646702802,-0.016707178009697694,0.007915529607457436,-0.0026628436025075957,0.005439616073422356,-0.007367511605409698,-0.0041182023242727715,-0.005624568070505711,0.019249246492517767,-0.0011765511715996976,-0.006575343698477916,-0.001498611689585465,0.0428918847548327,0.0008518492839509748,0.010315146928926695,-0.0013153704657959775,0.019857425216507917,-0.009134735484472576,-0.026915479381021106,-0.03759548817083615,0.030397489733122587,0.0049389076928787416,0.02372802121174436,0.053914257059289206,0.0012339468460449562,-0.028773774018551548,-0.03169600132598094,0.017407470199083574,0.02808943182570476,-0.012283475822076529
Transaction Month,-0.0029295222007828443,-0.006554057505152238,-0.35235849482245296,1.0,-0.005502394466907499,0.010285175554675629,-0.028099603283325874,-0.004147147767733815,0.009244352752914737,-0.004977979909723006,-0.022489760278593375,0.008874327719559726,0.025149103825109407,-0.0020298149152881213,-0.0052296049250312344,0.0017659898934663694,0.012270517180282053,-0.004966238492810007,-0.0065557993296768745,0.005840784894003484,-0.006631591843924385,0.027032729686370736,0.005324051421253639,-0.001714407695168247,0.023706791339740574,0.0029442956332459626,0.026629498913129594,-0.02360218173273591,0.012097548832562696,0.006477545644651958,-0.010322145645397737,0.0057274947539379135,0.003905791111937507,0.005419742074111496,-0.010890996155923365,0.00011553819135378564,-0.008280785122471063,0.03435304948289039,0.02476015947384274,0.030635135271233436,0.011277065029540624,0.015010098206570139,-0.0019621010492434547,-0.011158849557133551,-0.027451888010622226,-0.01510690620616231,0.009648982880628465,-0.003178226658763409,0.010437047969075432,0.0012305701827682665,-0.010052938633649148
Customer Year,-0.011951763198482209,-0.012606072679751947,-0.009023030880144655,-0.005502394466907499,1.0,0.0188753490776813,-0.03623339221022162,0.05044679863236461,0.023590842173053284,0.02960146192358899,-0.03587347611517734,0.019350914105526248,0.027536323148155017,0.01300591697645123,-0.03441410136476453,0.022202612644327983,0.009948443235913294,-0.001142890973810948,-0.011527118568447854,-0.022757289266809554,-0.0009249058070401724,-0.006918495947918552,0.007287343962463273,-0.009579340303430625,0.02731820794734223,-0.022313045494782403,0.01884126542363222,0.04720915036733377,-0.036808193964646664,-0.011480423770073063,-0.005298911849800088,0.03394348391319089,-0.019055242926807426,-0.03422880580518167,-0.014287570763501614,0.022579094574017786,0.0003087960348396272,-0.01898781645862783,-0.01665281123643517,0.02791929702000654,-0.024097732136293116,-0.007614148860544253,-0.0421590400750559,-0.012575329023007925,0.002927415402142948,-0.00012504602474014358,0.048166240048043,0.04918327278582661,0.021389328921549874,0.02205152567910055,0.017369908718891693
Customer Month,0.0037976395422634392,-0.01733286154382784,0.005284184153369941,0.010285175554675629,0.0188753490776813,1.0,0.002431757241674258,0.0030602968710014117,-0.007519937119249855,-0.011003020402042348,-0.011511817336355926,0.010967213959785444,-0.00046527036156024046,0.00485284627615512,0.008883946156243787,-0.0015657584224423346,0.0075454701744047635,0.0048162863399857595,0.011008581721408025,-0.008870804086548447,0.0034483732124092007,-0.06617576555623922,0.01602871131368943,-0.012392222058098973,0.019716640880878135,0.006100456676239794,0.015214493881148206,0.001913072158681459,0.01832955325111532,-0.06026546895284014,-0.0028345677389734958,-0.03143947316577056,-0.0009741681575778854,-0.025813957049024304,0.015783849943193873,-0.01218883639421301,-0.02413989215039481,0.01163752274316016,-0.011416379613506146,0.05354536473295803,0.02632892012048194,0.027224702732879667,-0.012155341822669627,-0.005765529675553508,-0.023557375096842855,0.06549286983049403,0.016381101390140564,-0.01402531933505405,0.038613741313351345,-0.01231371448016987,-0.004369512676569422
Amount,-0.015889310892425217,0.005590666039852076,0.016569131829807078,-0.028099603283325874,-0.03623339221022162,0.002431757241674258,1.0,0.0005397525363029597,-0.07968503698802759,-0.08955920959850253,0.1626653886414253,-0.10288446925654328,-0.06572350456523958,-0.1294970305805109,0.14019099858201212,-0.13851599153789038,-0.1395016239507159,0.30125394090453156,0.08125606186940938,-0.17275805676473796,-0.13971127410906403,0.06770345613921591,0.022629714911645372,-0.007946978208926727,-0.00724575683015431,-0.008145727812777292,-0.019990764083081217,0.006138341818302321,-0.0007894289628803461,-0.005626634211656673,-0.002831658627271215,-0.0002820826690122645,0.002435064703415488,-0.0036829206850922474,-0.022693321219143556,-0.025633560428127974,-0.0007372632012270674,-0.00986715533714034,0.007221848798354778,-0.0020470323677405813,0.010926689136265376,0.006889405481955009,0.014716490248624989,-0.009579085599112103,0.025294918978014985,-0.007781271390315815,0.003816511146236963,-0.01339242362598796,-0.001101986595699896,0.017942893602289494,0.02395324627363011
Population City,-0.05706634763684301,-0.1981421866605582,-0.006553593994760624,-0.004147147767733815,0.05044679863236461,0.0030602968710014117,0.0005397525363029597,1.0,0.009319412517313828,0.0071296648956677075,0.002624150775406703,-0.00992582224095122,-0.004924247564487302,-0.0076881212332622784,0.0002394122674125106,-0.00416463665386343,-0.004471691512728634,0.011023814810492565,0.017938438063895164,-0.028847909085255728,-0.00620276714499339,0.02678180090840548,-0.018523004408786514,0.13351457610866643,0.06427195664706113,-0.03825949466648142,0.05934023399612301,0.010833047940270395,-0.037064579021703445,-0.005441746549418816,-0.004342303996713281,0.0026234323640508188,-0.021919992481615573,-0.00010198909137499599,-0.028076074484854812,0.011818042070817752,0.046963559047016296,-0.011406860779073392,0.04108332679181404,-0.024044915459577716,-0.023799144085867467,-0.007200634962063481,-0.006855391672213391,0.04292278422085833,-0.006612771375550844,0.03059869216335669,0.003608313448888411,-0.009366847998656419,-0.01740420618817453,-0.019872961913079745,0.00360674594821907
Category_Food,0.001980942568671516,0.0002609294535070401,0.0021014345774426706,0.009244352752914737,0.023590842173053284,-0.007519937119249855,-0.07968503698802759,0.009319412517313828,1.0,-0.03510459104174876,-0.0955668401973739,-0.044289003923873846,-0.055084968400197915,-0.053459880282651015,-0.06522823378960013,-0.048752839716342596,-0.050225025648474836,-0.09121194187783001,-0.07048813680085383,-0.06847458741239361,-0.03293443213385492,-0.0322960537152381,0.0020921758988857527,0.002611600892339177,-0.006063545537251086,0.004565143574282505,0.020040321754451442,-0.013122975395870134,0.002296235924141278,-0.004674245971256978,0.020843508271610398,0.007755729010951364,-0.013056464158731965,-0.01068893748010931,0.0063017084389817915,0.0062706122066516976,-0.00017639610523805777,0.002868118393495997,0.009400677319838487,-0.006547544845943316,-0.0124677896721963,-0.019528391457098643,-0.001369511559940313,0.006528337976657154,0.008728270021084287,0.0045499868082248774,-0.004536009362432977,-0.0037018339689519363,-0.003629264587431522,-0.007418292872122666,-0.0025957095181850733
Category_Grocery_Net,0.0010713853877478486,0.00218722350206464,-0.004108035422660027,-0.004977979909723006,0.02960146192358899,-0.011003020402042348,-0.08955920959850253,0.0071296648956677075,-0.03510459104174876,1.0,-0.07318434548039666,-0.03391617591889885,-0.042183641834875656,-0.040939161950587215,-0.04995127584918682,-0.03733454676938524,-0.03846193534523465,-0.06984939810229703,-0.05397926880546695,-0.05243730829089336,-0.025220932851884214,0.005105525532797775,-0.002501714739931117,0.00396036223462863,0.005894641271967979,0.0021030961545401173,0.00900880520763847,-0.008678264106937438,-0.001015751160424759,-0.014904187135220164,0.0025084383990047776,-0.006090161059546305,0.009916635868757094,0.006419580090160185,-0.012620179628524839,0.00288659599419267,0.018621438476609985,0.005781563911461503,-0.006360493582428769,-0.009382663567463263,-0.00684121330818308,0.01457894473905367,-0.00317775160693042,-0.005405652518539174,-0.012756003849652057,-0.014243019423880725,0.009698243789192044,-0.0003896362989068706,0.015300476785806805,-0.0056808711819594905,-0.010897850780582646
